id,color,Yield,FruitAver,Firmness
P215,0.169643406,140.32,40.31,603.956
P216,0.223549896,170.12,47,622.438
P217,0.159235325,89.93,48.81,597.95
P218,0.13882163,165.4,47.34,640.946
P219,0.364439467,126.75,42.74,593.537
P220,0.213316712,111.48,39.98,565.617
P221,0.078986681,194.07,44.42,612.206
P223,0.255799664,94.5,52.52,645.79
P224,0.134600741,151.17,50.17,605.882
P225,0.126690775,104.33,48.98,712.558
P226,0.079714563,82.44,43.38,663.2
P228,0.250714786,201.06,46.65,669.866
P229,0.121754498,297.91,50.08,664.234
P230,0.123091016,154.96,53.9,708.938
P232,0.122429417,163.58,43.43,652.788
P233,0.277902173,83.4,50.99,689.816
P234,0.169168762,70.5,40.96,663.13
P237,0.183955788,196.58,42.63,674.492
P238,0.166520999,92.72,52.53,761.899
P239,0.166318451,134.83,44.78,663.662
P240,0.094421522,64.78,40.74,698.126
P241,0.133225332,229.49,47.2,616.336
P242,0.089936765,36.15,41.61,749.965
P243,0.079211975,87.28,45.55,612.716
P244,0.255058275,180,50.71,634.957
P245,0.189745626,103,51.1,579.169
P246,0.217796918,119.56,43.03,650.511
P247,0.099222773,100.63,43.02,673.522
P248,0.171250825,37.23,37.23,592.342
P249,0.189670652,103.93,33.05,529.221
P250,0.087048251,64.27,31.15,659.06
P251,0.205287695,113.46,44.97,710.268
P252,0.129527504,223.55,42.81,594.323
P253,0.142585563,67.45,46.48,640.676
P254,0.219526505,87.13,43.32,699.442
P255,0.239533551,140.85,49.24,709.609
P256,0.140183833,113.62,46.13,589.515
P257,0.082985808,45.78,45.78,675.51
P258,0.221819473,132.8,47.42,641.869
P259,0.200246223,102.98,53.23,639.759
P260,0.125249833,87.3,38.94,611.002
P262,0.128156704,65.05,39.52,581.633
P263,0.161765159,78.13,41.85,590.999
P264,0.068419612,56.43,44.95,581.234
P265,0.144958769,54.98,49.03,661.786
P266,0.31552226,121.62,47.47,556.287
P267,0.20663333,142.89,47.88,575.3
P268,0.249647426,258.32,57.46,686.445
P270,0.279449323,228.75,43.98,559.554
P271,0.260447121,76.36,53.04,657.75
P276,0.139366549,133.7,43.3,631.149
P277,0.0917448,101.9,48.2,665.719
P278,0.183930794,155.5,44.1,711.443
P279,0.132623589,148.9,41.9,727.553
P280,0.148031948,87.6,36.5,722.182
P281,0.135719193,260.4,45.8,591.004
P282,0.151900866,92.8,50.2,605.506
P283,0.097438534,107.3,50.9,668.733
P284,0.124311837,59.2,49.4,662.228
P285,0.244763157,98.8,45,659.179
P286,0.336771744,155.3,46.6,750.541
P287,0.420062067,NA,NA,NA
P289,0.193909715,107.1,55.1,649.897
P291,0.088737299,100.9,56.1,684.42
P293,0.119597045,231.3,43.2,608.41
P294,0.094683829,261.2,44,591.907
P295,0.087558995,191.9,40.7,673.206
P296,0.104493142,199.7,47.5,707.017
P299,0.08562024,110.5,49.4,NA
P301,0.156794896,149.73,55.49,646.763
P302,0.233108905,96.7,48.47,492.509
P303,0.238596238,136,47.19,650.811
P304,0.134365947,177.27,46.85,666.645
P305,0.171531988,230.66,42.05,651.005
P306,0.170809343,206.5,38.81,561.257
P307,0.116580085,167.53,49.62,759.953
P308,0.318776063,76.63,50,707.068
P309,0.312730081,166.53,49.23,653.537
P310,0.408725693,148.37,54.79,668.061
P311,0.37949643,133.88,55.93,630.482
P312,0.127035111,264.13,37.6,644.595
P313,0.101262598,99.18,47.96,NA
P314,0.19786058,153.06,43.02,636.908
P315,0.268609918,196.72,37.21,646.827
P324,0.215306926,101.23,52.28,697.791
P325,0.088935083,236.16,41.56,701.387
P326,0.158107028,159.22,46.59,650.341
P328,0.195028596,140.99,53.86,628.452
P329,0.225466762,173.67,47.15,666.324
P331,0.098490076,61.57,34.06,596.574
P334,0.091525648,95.09,41.73,579.851
P338,0.235110281,103.66,45.66,620.102
P339,0.300768268,32.69,52.06,NA
P340,0.122887767,149.73,47.08,577.22
P341,0.318991766,106.64,50.41,NA
P342,0.246384779,208.6,47.62,620.213
P344,0.155143003,64.16,48.56,651.266
P345,0.100526805,56.65,39.6,NA
P347,0.099454405,123.37,52.28,NA
P349,0.171669139,66.17,51.19,NA
P352,0.194363909,73.05,48.28,NA
P353,0.10799547,120.28,55.65,NA
P354,0.278396097,115.4,45.45,NA
P355,0.156167925,116.06,41,NA
P356,0.236605438,70.22,49.28,NA
P359,0.195470565,134.28,41.67,NA
P360,0.184548919,109.11,42.95,NA
P363,0.277971048,134.12,50.96,NA
P365,0.136861097,145.2,48.9,538.784
P366,0.175457572,25,42.5,724.549
P367,0.098781127,73.4,50.2,579.747
P368,0.102745549,40.8,36.6,569.163
P369,0.314474282,76.5,44.8,613.282
P370,0.168619142,93.9,50.7,635.857
P371,0.137124374,167.4,37.7,649.539
P373,0.133726131,142.1,47,663.95
P374,0.134478854,182.3,45.8,540.553
P379,0.121967329,26.55,45.55,553.297
P380,0.114742545,147.8,51.51,738.007
P381,0.164639227,73.68,41.23,643.178
P382,0.157782292,129.12,42.22,668.951
P383,0.12291938,135.98,54.61,644.412
P384,0.123820084,183.99,43.91,701.052
P385,0.217708283,163.99,40.95,641.068
P386,0.297187579,99.03,45.98,679.028
P387,0.159476138,125.97,50.49,669.109
P389,0.175560712,84.53,50.95,613.221
P390,0.159762014,140.02,43.59,685.85
P391,0.268001588,181.52,48.56,591.59
P392,0.282969674,122.1,53.24,641.516
P393,0.291275848,153.77,45.11,718.801
P394,0.235278364,240.36,57,678.925
P395,0.388787191,180.53,46.77,663.379
P396,0.151321624,150.64,50.22,601.469
P397,0.194106137,312.89,44.46,632.742
P398,0.10499103,129.22,48.82,648.928
P399,0.327801324,289.45,58.73,686.048
P400,0.174932495,68.43,51.37,596.897
P401,0.326151104,32.09,49.64,667.423
P402,0.252541749,201.08,54.86,569.615
P403,0.108311636,172.08,41.2,614.752
P405,0.162762863,165.6,40.5,NA
P406,0.176679077,76.4,53.8,NA
P407,0.397510461,128.6,56.9,NA
P408,0.162305778,83,54.4,NA
P409,0.128634936,87.8,58.8,NA
P410,0.218345346,327.3,48.5,NA
P411,0.274268859,207.3,48.2,NA
P412,0.200661046,74.8,52.7,NA
P413,0.204544007,147.5,58.8,NA
P414,0.116664611,55,53.6,NA
P415,0.252917469,23.7,55.5,NA
P416,0.131888123,111.7,47.5,NA
P417,0.105582898,94.11,40.53,NA
P420,0.217157065,127.95,44.14,NA
P421,0.126346765,95.69,49.05,NA
P422,0.381450302,103.42,54.99,NA
P424,0.250010257,176.38,44.59,NA
P425,0.086744836,143.91,45.16,NA
P426,0.120515702,138.8,53.4,NA
P427,0.358370893,73.56,59.86,NA
P428,0.208329045,53.1,49,NA
P429,0.139627333,257.65,49.23,NA
P430,0.273503633,72.96,40.9,NA
P432,0.18007325,21.93,49.64,NA
P433,0.197476063,56.23,42.55,NA
P434,0.11014852,109.04,44.25,NA
P435,0.092583544,28.08,39.98,NA
P436,0.096812456,168.52,53.08,NA
P438,0.452125435,122.3,50.05,NA
P441,0.139026004,102.92,41.09,NA
P442,0.120392201,188.51,52.6,NA
P447,0.084787513,34.1,46.7,NA
P448,0.091903758,267.8,43.7,NA
P449,0.118262658,178,48.7,NA
P450,0.101179277,70.5,39.8,NA
P452,0.191601869,126.8,49.2,NA
P453,0.231221072,213.7,49.1,NA
P454,0.104178825,50.1,41.4,NA
P455,0.172738795,139.5,50.3,NA
P456,0.098417133,36.81,29.04,NA
P458,0.183698661,151.74,49.03,NA
